"标识","层级","优先级","类型","标题","所属模块","前置条件","步骤","预期结果","数据要求","设计依据"
"TC-001","功能","P0","正向","买家在库存充足时提交订单，系统创建【待支付】订单并返回订单号","订单模块","buyer01 已登录；SKU-A 库存=10；库存服务正常。","1. 进入商品 SKU-A 详情页，选择数量 1，点击「立即购买/提交订单」。
2. 在确认页点击「提交订单」。
3. 观察返回结果与订单列表。","1. 页面返回下单成功并展示订单号（非空、唯一）。
2. 订单列表新增一条记录，状态为【待支付】。
3. 系统提示支付倒计时 15 分钟开始。","SKU-A 库存=10，购买数量=1。","覆盖验收标准「库存充足时创建待支付订单并返回订单号」。"
"TC-002","功能","P0","反向","买家提交订单时库存不足，系统返回下单失败且流程终止","库存模块","buyer01 已登录；SKU-B 库存=0。","1. 进入 SKU-B 详情页，选择数量 1，点击「提交订单」。
2. 观察返回结果。
3. 查看订单列表与库存数量。","1. 页面提示「下单失败：库存不足」。
2. 不生成任何订单记录（订单列表无新增）。
3. 库存数量保持 0 不变，不产生锁定。
4. 流程终止，不进入支付环节。","SKU-B 库存=0。","覆盖验收标准「库存不足时直接返回下单失败且流程终止」。"
"TC-003","功能","P0","正向","买家在15分钟内支付成功，订单变为【已支付】、扣减库存并触发发货通知","订单模块","buyer01 已创建 SKU-A 待支付订单；支付网关配置为扣款成功；倒计时未超时。","1. 在订单列表找到该【待支付】订单，点击「去支付」。
2. 选择支付方式并确认支付。
3. 等待支付网关返回。
4. 查看订单状态、库存数量、发货通知记录。","1. 支付网关扣款成功。
2. 订单状态由【待支付】更新为【已支付】。
3. 商品库存按购买数量扣减（锁定库存转为实际扣减）。
4. 发货通知服务生成一条对应订单的发货通知记录。","SKU-A 库存=10，购买数量=1，支付金额与订单一致。","覆盖验收标准「15分钟内支付成功→已支付+扣减库存+触发发货通知」。"
"TC-004","功能","P0","反向","支付网关扣款失败时订单保持【待支付】并允许重试","支付网关","buyer01 有【待支付】订单；支付网关配置为扣款失败；倒计时未超时。","1. 对该【待支付】订单点击「去支付」并确认。
2. 支付网关返回扣款失败。
3. 查看订单状态与库存。
4. 再次点击「去支付」重试。","1. 页面提示支付失败原因。
2. 订单状态仍为【待支付】，未变为已支付。
3. 库存不扣减、锁定库存不释放。
4. 允许再次发起支付，且仍受原 15 分钟超时限制。","支付网关返回失败码。","覆盖验收标准「扣款失败保持待支付、允许重试且仍受15分钟限制」。"
"TC-005","功能","P0","状态流转","15分钟超时未支付，订单自动改为【已取消】并释放锁定库存","订单模块","buyer01 有【待支付】订单且已锁定库存；倒计时配置为可缩短（如1分钟）或使用时间快进。","1. 创建【待支付】订单后不进行任何支付操作。
2. 等待倒计时结束（或快进至超时）。
3. 查看订单状态与库存可用数量。","1. 订单状态由【待支付】自动变更为【已取消】。
2. 该订单锁定的库存被释放，可用库存恢复。
3. 订单不可再发起支付。","SKU-A 库存=10，购买数量=1，超时后可用库存应恢复为 10。","覆盖验收标准「15分钟超时→已取消+释放锁定库存」。"
"TC-006","功能","P0","状态流转","非【待支付】状态订单发起支付请求被拒绝","订单模块","存在【已支付】订单与【已取消】订单各一条。","1. 对【已支付】订单尝试发起支付请求（页面入口或接口）。
2. 对【已取消】订单尝试发起支付请求。
3. 观察返回与订单状态。","1. 两种情况下均拒绝支付，提示「订单状态不允许支付」类文案。
2. 订单状态保持不变，不进入支付网关扣款。
3. 不产生任何库存或通知副作用。","","覆盖验收标准「只有待支付状态订单才允许发起支付请求」。"
"TC-007","功能","P0","状态流转","订单已变为【已支付】或【已取消】后尝试回退到【待支付】被拒绝","订单模块","存在【已支付】订单与【已取消】订单各一条。","1. 通过后台或接口尝试将【已支付】订单状态改回【待支付】。
2. 尝试将【已取消】订单状态改回【待支付】。
3. 查看订单状态。","1. 两次回退操作均被拒绝，提示状态不可回退。
2. 订单状态保持【已支付】/【已取消】不变。
3. 不重新生成倒计时，不重新锁定库存。","","覆盖验收标准「已支付/已取消不允许回退到待支付」。"
"TC-008","功能","P0","状态流转","订单状态变更后倒计时计时器停止","订单模块","buyer01 有【待支付】订单，倒计时运行中。","1. 在倒计时未结束时完成支付使订单变为【已支付】。
2. 观察该订单倒计时是否继续。
3. 另建一单，等待超时变为【已取消】，观察倒计时是否继续。","1. 订单变为【已支付】后倒计时立即停止，不再触发超时取消。
2. 订单变为【已取消】后倒计时停止，不重复触发取消。
3. 已支付订单不会被超时逻辑误改为已取消。","","覆盖验收标准「倒计时仅在待支付状态持续计时，状态变更后停止」。"
"TC-009","功能","P1","边界值","库存临界值：库存等于购买数量时下单成功并锁定全部库存","库存模块","buyer01 已登录；SKU-C 库存=1。","1. 对 SKU-C 提交数量 1 的订单。
2. 查看订单与库存。","1. 下单成功，返回订单号，订单为【待支付】。
2. 可用库存变为 0，锁定库存为 1。","SKU-C 库存=1，购买数量=1（边界内有效值）。","库存=购买数量为边界值，验证临界充足判定。"
"TC-010","功能","P1","边界值","购买数量超过库存1件时下单失败","库存模块","SKU-C 库存=1。","1. 对 SKU-C 提交数量 2 的订单。
2. 查看返回与库存。","1. 提示库存不足，下单失败。
2. 不生成订单，库存保持 1 不变。","库存=1，购买数量=2（边界外无效值）。","边界外无效值验证库存校验下界。"
